german,hungarian
ich,én
sie,ő
das,a
ist,van
du,te
nicht,nem
die,a
es,azt
und,és
der,a
wir,mi
was,Mi
zu,hogy
er,ő
ein,a
in,be
ja,Igen
mir,nekem
mit,-vel
wie,Hogyan
den,a
mich,nekem
auf,-on
dass,hogy
aber,de
eine,egy
so,így
hat,rendelkezik
hier,itt
haben,van
für,számára
sind,vannak
war,volt
von,-tól
wenn,ha
dich,te
ihr,neki
nein,nem
habe,van
an,hogy
bin,am
noch,még mindig
nur,csak
da,ott
dir,te
sich,maga
einen,a
uns,minket
hast,van
dem,dem
kann,tud
gut,jó
auch,is
schon,már
als,mint
sein,legyen
mal,éppen
jetzt,jelenleg
ihn,neki
dann,majd
aus,ki
meine,enyém
um,körül
im,a
wird,válik
mein,az én
bist,vannak
doch,de
alles,minden
weiß,fehér
keine,nem
oder,vagy
nach,után
s,s
nichts,semmi
man,férfi
muss,kell
werden,válik
will,akar
ihnen,őket
geht,megy
wo,ahol
etwas,valami
oh,Ó
mehr,több
bei,at
also,így
bitte,Kérem
immer,mindig
hab,van
warum,Miért
vor,előtt
los,megy
können,tud
wieder,újra
sagen,mondjuk
machen,készítsenek
danke,Köszönöm
sehr,nagyon
alle,minden
denn,mert
mann,férfi
tun,csináld
ihm,neki
zum,a
gehen,megy
sehen,lásd
vielleicht,talán
einem,egy
wer,WHO
ihre,neki
diese,ez
euch,te
einer,egy
komm,jön
über,felett
gibt,ad
okay,RENDBEN
wissen,tudás
deine,a te
müssen,kell
soll,kellene
werde,válik
nie,soha
wirklich,igazán
hey,szia
kein,nem
viel,sokkal
weg,el
würde,lenne
tut,nem
am,-on
des,des
einfach,egyszerűen
leben,élet
hatte,volt
zeit,idő
weil,mert
willst,akar
kommen,jön
dein,a te
heute,ma
kommt,jön
wollen,akar
damit,azzal
ganz,egészen
wäre,voltak
wollte,akarta
weißt,tud
ok,RENDBEN
sicher,biztonságos
gesagt,mondta
frau,nő
nun,így
bis,-ig
wurde,lett
leid,bánat
na,n/a
kannst,tud
macht,hatalom
dieser,ez
zurück,vissza
lassen,hagyja
hallo,Helló
meinen,átlagos
gott,Isten
seine,az övé
hätte,volna
zwei,két
könnte,tudott
genau,Pontosan
waren,voltak
zur,hogy
lass,hagyja
klar,világos
morgen,reggel
leute,emberek
vater,apa
schön,szép
glaube,hisz
mr.,úr.
ab,el
gerade,egyenes
tag,nap
gesehen,látott
reden,beszélgetés
wohl,valószínűleg
liebe,szeretet
sollte,kellene
sagte,mondta
unsere,a miénk
jemand,valaki
geld,pénz
durch,keresztül
ob,vajon
keinen,egyik sem
mutter,anya
raus,ki
gemacht,készült
paar,párosít
mach,csináld
passiert,történt
dachte,gondolat
besser,jobb
musst,kell
wieso,hogy lehet
sir,uram
dieses,ez
selbst,magát
gehört,hallott
möchte,akar
ohne,nélkül
hör,hallgat
her,itt
sag,mondjuk
meiner,enyém
anderen,mások
helfen,Segítség
nacht,éjszaka
finden,lelet
diesen,ezt
gute,jó
wirst,akarat
lange,hosszú
natürlich,természetesen
ach,Ó
meinem,enyém
gar,még
ins,a
sei,legyen
dort,ott
weiter,további
geben,ad
seit,mivel
gleich,még
sagt,mondja
recht,jobbra
ihren,a te
richtig,helyes
ordnung,rendelés
vom,a
hören,hall
sieht,látja
davon,abból
dafür,azért
geh,megy
diesem,ezt
wegen,miatt
hause,otthon
sollten,kellene
mädchen,lány
hin,ott
sollen,kellene
abend,este
haus,egy házat
denke,gondol
viele,sok
drei,három
deinen,a tiéd
freund,barátja
guten,jó
unser,a miénk
warte,Várjon
machst,csináld
menschen,emberek
essen,eszik
angst,félelem
bleiben,marad
zusammen,együtt
welt,világ
unter,alatt
habt,van
schnell,gyors
andere,más
tot,halott
getan,tette
darf,május
erst,első
rein,tiszta
stimmt,igaz
nehmen,vesz
kinder,gyermekek
eines,egy
glauben,hisz
bringen,hozza
ganze,egész
genug,elég
scheiße,szar
brauchen,igény
gegen,ellen
moment,pillanat
junge,fiú
steht,áll
sonst,egyébként
musik,zene
arbeit,munka
seid,vannak
ihrer,övék
fragen,kérdéseket
herr,Úr
dabei,tartalmazza
heißt,hívják
familie,család
warten,Várjon
niemand,senki
sofort,azonnal
bevor,előtt
jahre,év
einmal,egyszer
problem,probléma
sohn,fiú
wann,Amikor
brauche,igény
fertig,teljes
halt,Stop
allein,kizárólag
beim,a
sprechen,beszél
beide,mindkét
gefunden,talált
hatten,volt
sache,anyag
hilfe,Segítség
verdammt,átkozott
ne,nem
jeder,mindenki
warst,voltak
gern,örömmel
konnte,tudott
darüber,arról
halten,tart
siehst,lásd
verstehe,megérteni
jahren,év
kam,jött
kind,gyermek
wusste,tudta
wahr,igaz
seinen,az övé
dazu,ráadásul
bruder,testvér
daran,hozzá
ihrem,övék
denken,gondol
könnten,tudott
dank,köszönhetően
würden,lenne
lieber,Kedves
fall,ügy
deiner,a tiéd
sehe,lásd
egal,nem számít
kennen,tud
deinem,a tiéd
vergessen,felejtsd el
frage,kérdez
mache,készítsenek
komme,jön
sage,fűrész
mag,kedveli
sieh,lásd
echt,igazi
