english,hungarian
you,te
i,én
the,a
to,hogy
a,a
s,s
it,azt
and,és
that,hogy
t,t
of,a
is,van
in,be
what,Mi
we,mi
me,nekem
this,ez
he,ő
for,számára
my,az én
on,-on
have,van
your,a te
do,csináld
was,volt
m,m
no,nem
not,nem
be,legyen
are,vannak
don,don
re,re
know,tud
can,tud
with,-vel
but,de
all,minden
so,így
just,éppen
there,ott
here,itt
they,azok
like,mint
ll,ll
get,kap
she,ő
go,megy
if,ha
right,jobbra
out,ki
about,körülbelül
up,fel
at,at
him,neki
now,jelenleg
oh,ó
one,egy
come,jön
well,jól
her,neki
how,hogyan
yeah,igen
ve,ve
will,akarat
got,kapott
want,akar
think,gondol
as,mint
see,lásd
did,tette
good,jó
who,WHO
why,Miért
from,-tól
let,hagyja
his,az övé
yes,igen
when,amikor
going,haladó
time,idő
an,an
okay,Rendben
back,vissza
look,Nézze
us,minket
would,lenne
them,őket
where,ahol
were,voltak
take,vesz
then,majd
had,volt
or,vagy
been,volt
our,a miénk
gonna,fog
tell,mondd meg
really,igazán
man,férfi
some,néhány
say,mondjuk
hey,szia
could,tudott
d,d
didn,tette
by,által
need,igény
something,valami
has,rendelkezik
too,is
more,több
way,út
down,le-
make,készítsenek
very,nagyon
never,soha
only,csak
people,emberek
over,felett
because,mert
little,kis
please,Kérem
love,szeretet
should,kellene
mean,átlagos
said,mondta
sorry,sajnálom
give,ad
off,le
am,am
thank,köszönet
any,bármilyen
two,két
even,még
much,sokkal
doing,csinál
sure,Persze
thing,dolog
these,ezek
help,Segítség
first,első
into,-ba
anything,bármi
still,még mindig
find,lelet
life,élet
nothing,semmi
sir,uram
day,nap
god,Isten
work,munka
their,az övék
uh,uh
again,újra
maybe,talán
must,kell
before,előtt
other,más
wait,Várjon
stop,Stop
call,hívás
after,után
won,won
talk,beszélgetés
away,el
than,mint
thought,gondolat
home,otthon
night,éjszaka
put,fel
great,nagy
those,azok
last,utolsó
better,jobb
everything,minden
told,mondta
mr.,úr.
new,új
things,dolgokat
always,mindig
keep,tartsa
long,hosszú
years,év
leave,szabadság
does,nem
money,pénz
around,körül
doesn,nem
name,név
place,hely
ever,valaha
feel,érezni
guys,srácok
father,apa
guy,fickó
made,készült
old,régi
isn,isn
which,melyik
big,nagy
lot,sok
done,kész
hello,Helló
nice,szép
believe,hisz
girl,lány
someone,valaki
fine,finom
thanks,Köszönöm
wanted,akarta
kind,fajta
coming,eljövetel
house,ház
every,minden
ok,Rendben
through,keresztül
being,lény
course,pálya
stay,marad
left,balra
dad,apu
enough,elég
happened,történt
came,jött
may,május
mother,anya
wrong,rossz
world,világ
bad,rossz
might,hatalom
three,három
today,ma
listen,hallgat
another,másik
understand,megérteni
hear,hall
remember,emlékezz
ask,kérdez
own,saját
same,azonos
show,megmutat
else,más
kill,megöl
talking,beszéd
found,talált
next,következő
getting,szerzés
care,gondoskodás
car,autó
looking,keres
son,fiú
try,megpróbál
woman,nő
went,ment
hi,Szia
dead,halott
many,sok
mind,elme
wasn,volt
friend,barátja
best,legjobb
mom,anya
hell,pokol
morning,reggel
trying,próbálkozik
boy,fiú
together,együtt
yourself,magad
job,munka
saw,fűrész
family,család
real,igazi
without,nélkül
baby,baba
room,szoba
wouldn,nem tenné
already,már
move,mozog
most,legtöbb
seen,látott
live,élő
miss,hiányzik
actually,tulajdonképpen
huh,huh
shit,szar
both,mindkét
heard,hallott
once,egyszer
ready,kész
head,fej
called,hívott
used,használt
idea,ötlet
knew,tudta
hold,tart
happy,boldog
door,ajtó
such,ilyen
fuck,bassza meg
brother,testvér
also,is
pretty,szép
bit,bit
took,vett
haven,menedéket
yet,még
men,férfiak
whole,egész
start,indul
use,használat
while,míg
since,mivel
wife,feleség
days,napokon
guess,találgatás
tomorrow,holnap
matter,anyag
meet,találkozik
bring,hozza
tonight,ma este
everyone,mindenki
run,fut
wanna,akarom
hard,kemény
ah,ah
alone,kizárólag
myself,magamat
school,iskola
gone,elmúlt
um,hm
end,vége
saying,mondás
phone,telefon
play,játék
looks,úgy néz ki
couldn,tudna
fucking,kibaszott
problem,probléma
few,kevés
friends,barátok
gotta,muszáj
ago,ezelőtt
open,nyitott
anyone,bárki
killed,megölték
hope,remény
face,arc
until,-ig
lost,elveszett
police,rendőrség
excuse,mentség
turn,fordulat
business,üzleti
case,ügy
wants,akar
says,mondja
TRUE,IGAZ
die,meghal
heart,szív
soon,hamar
each,minden
worry,aggodalom
later,később
year,év
watch,óra
music,zene
hand,kéz
having,amelynek
probably,valószínűleg
beautiful,gyönyörű
doctor,orvos
sit,ül
eat,eszik
thinking,gondolkodás
young,fiatal
second,második
working,dolgozó
water,víz
person,személy
part,rész
kids,gyerekek
late,késő
stuff,dolog
exactly,pontosan
under,alatt
death,halál
minute,perc
pay,fizetés
crazy,őrült
forget,felejtsd el
everybody,mindenki
kid,kölyök
change,változás
gave,adott
happen,történik
damn,átkozott
five,öt
drink,ital
far,messze
knows,tudja
its,annak
whatever,bármi
eyes,szemét
shut,bezárva
aren,aren
hit,találat
taking,szedése
easy,könnyen
times,alkalommal
check,ellenőrzés
hands,kezek
minutes,jegyzőkönyv
deal,üzlet
different,különböző
means,eszközök
point,pont
inside,belső
makes,teszi
asked,kérdezte
somebody,valaki
mine,enyém
making,készítése
body,test
afraid,fél
sleep,alvás
chance,véletlen
dear,kedves
quite,egészen
four,négy
anyway,különben is
close,közeli
ain,ain
party,fél
fun,szórakoztató
against,ellen
word,szó
comes,jön
important,fontos
set,készlet
shall,kell
story,történet
number,szám
daughter,lánya
least,legkevésbé
waiting,várakozás
hurt,fáj
wish,kíván
moment,pillanat
fight,harc
week,hét
husband,férj
girls,lányok
rest,pihenés
married,házas
fire,Tűz
game,játék
nobody,senki
mr,úr
children,gyermekek
side,oldal
stand,állvány
read,olvas
though,bár
cut,vágott
started,elindult
sister,nővér
supposed,feltételezett
between,között
child,gyermek
goes,megy
hours,óra
speak,beszél
women,nők
behind,mögött
almost,majdnem
truth,igazság
blood,vér
able,képes
lady,hölgy
anymore,többé
playing,játszik
gets,kap
shot,lövés
reason,ok
trouble,baj
break,szünet
war,háború
city,város
walk,séta
town,város
trust,bizalom
dr.,dr.
met,találkozott
office,hivatal
question,kérdés
brought,hozott
yours,a tiéd
welcome,üdvözlöm
high,magas
wow,wow
couple,párosít
half,fél
died,meghalt
cool,hűvös
free,ingyenes
either,bármelyik
seems,úgy tűnik
power,hatalom
whoa,izé
